Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,DIVISLAB.NS,HINDUNILVR.NS,ITC.NS,NTPC.NS,RELIANCE.NS,TATASTEEL.NS,BENCHMARK
2010-09-17,1045.5906982421875,50.8935546875,318.70660400390625,224.5327606201172,83.03217315673828,104.55162811279297,464.3442077636719,19.75128746032715,5884.9501953125
2010-09-20,1055.28173828125,51.1553955078125,317.3803405761719,233.6160430908203,87.12581634521484,104.01960754394531,470.69451904296875,20.1823673248291,5980.4501953125
2010-09-21,1054.7392578125,51.02933120727539,313.0260009765625,235.010498046875,85.1529769897461,105.38761901855469,467.86968994140625,20.095821380615234,6009.0498046875
2010-09-22,1043.818603515625,51.04872512817383,312.9376220703125,237.4406280517578,86.1640625,105.56494140625,461.0447082519531,20.210126876831055,5991.0
2010-09-23,1041.7574462890625,51.02933120727539,313.35760498046875,241.66354370117188,87.05184173583984,105.08360290527344,450.9202880859375,20.361980438232422,5959.5498046875
2010-09-24,1047.5433349609375,51.14570236206055,314.7059326171875,250.9460906982422,88.4081802368164,106.04629516601562,452.7282409667969,20.57262420654297,6018.2998046875
2010-09-27,1052.7144775390625,51.79545211791992,317.2477722167969,246.085693359375,87.98895263671875,108.73162078857422,456.59271240234375,21.093509674072266,6035.64990234375
2010-09-28,1049.279052734375,52.70703887939453,315.678466796875,243.9741668701172,87.98895263671875,111.21432495117188,451.30450439453125,21.281295776367188,6029.5
2010-09-29,1078.4608154296875,51.902122497558594,311.6556701660156,243.8148651123047,85.62152862548828,109.94766998291016,451.53045654296875,21.32864761352539,5991.2998046875
2010-09-30,1063.056396484375,51.81969451904297,304.9583740234375,246.24505615234375,87.93962860107422,109.92233276367188,446.2196960449219,21.287822723388672,6029.9501953125
2010-10-01,1119.141845703125,51.087520599365234,310.6167907714844,246.76295471191406,88.11225128173828,111.18899536132812,455.5531921386719,21.808712005615234,6143.39990234375
2010-10-04,1109.9569091796875,49.97712707519531,315.61212158203125,245.8466033935547,86.43533325195312,110.42899322509766,460.0503845214844,21.87076187133789,6159.4501953125
2010-10-05,1143.911865234375,49.9189453125,318.1540222167969,242.22125244140625,85.72017669677734,109.49166107177734,462.76226806640625,21.82667350769043,6145.7998046875
2010-10-06,1154.5072021484375,49.94803237915039,319.2591247558594,239.9504852294922,85.27628326416016,109.74497985839844,472.29913330078125,22.149988174438477,6186.4501953125
2010-10-07,1133.9678955078125,49.89955139160156,317.7560729980469,236.12591552734375,84.78307342529297,108.95965576171875,469.6776123046875,21.217613220214844,6120.2998046875
2010-10-08,1118.9970703125,49.017051696777344,320.80645751953125,235.68768310546875,85.05433654785156,108.75698852539062,474.4233703613281,20.463224411010742,6103.4501953125
2010-10-11,1122.4324951171875,48.929779052734375,321.6242370605469,234.93072509765625,85.30094146728516,107.99698638916016,483.25970458984375,20.904094696044922,6135.85009765625
2010-10-12,1102.0015869140625,48.469139099121094,317.82244873046875,232.5006103515625,84.31453704833984,106.55296325683594,477.1127014160156,20.683658599853516,6090.89990234375
2010-10-13,1116.1766357421875,49.15766906738281,321.29266357421875,241.70338439941406,86.3613510131836,105.41294860839844,484.9998474121094,20.830617904663086,6233.89990234375
2010-10-14,1101.9652099609375,48.67763900756836,320.2317199707031,238.35691833496094,86.33668518066406,102.62628173828125,478.6495056152344,21.309053421020508,6177.35009765625
2010-10-15,1088.3690185546875,48.42064666748047,315.9879150390625,237.91868591308594,84.80773162841797,103.51292419433594,470.2200012207031,20.765304565429688,6062.64990234375
2010-10-18,1099.072509765625,49.10918426513672,310.92620849609375,236.6040496826172,84.6104507446289,105.08360290527344,473.4290771484375,21.09840965270996,6075.9501953125
2010-10-19,1095.2757568359375,48.512779235839844,309.8431701660156,236.6438446044922,84.09256744384766,103.48760986328125,472.050537109375,20.677127838134766,6027.2998046875
2010-10-20,1075.53173828125,47.35390090942383,310.3736877441406,233.77549743652344,82.85954284667969,104.07024383544922,474.3330078125,20.107254028320312,5982.10009765625
2010-10-21,1077.7376708984375,47.6157341003418,313.6891174316406,244.17340087890625,85.99143981933594,104.22223663330078,488.8868713378906,20.522005081176758,6101.5
2010-10-22,1075.0980224609375,46.85932540893555,315.302734375,240.03013610839844,84.43782806396484,103.36092376708984,488.95458984375,20.16603660583496,6066.0498046875
2010-10-25,1077.6654052734375,47.1114501953125,318.6402587890625,244.0538787841797,83.42674255371094,105.15957641601562,492.8190612792969,20.255844116210938,6105.7998046875
2010-10-26,1083.957275390625,46.37443542480469,318.1540222167969,237.63978576660156,84.7090835571289,103.99427795410156,496.6610107421875,19.779048919677734,6082.0
2010-10-27,1069.7098388671875,45.9428825378418,314.2638854980469,233.45677185058594,82.78556060791016,100.44756317138672,493.90386962890625,20.081127166748047,6012.64990234375
2010-10-28,1076.8336181640625,45.2107048034668,306.1077575683594,232.10215759277344,82.39099884033203,98.31957244873047,489.04510498046875,19.72026252746582,5987.7001953125
2010-10-29,1092.7442626953125,45.59861373901367,306.04144287109375,234.81121826171875,84.43782806396484,98.95291137695312,495.48577880859375,19.248361587524414,6017.7001953125
2010-11-01,1107.0640869140625,45.31253433227539,309.1579895019531,237.1054229736328,84.75841522216797,97.88888549804688,494.1072998046875,19.330007553100586,6117.5498046875
2010-11-02,1120.08203125,45.78287124633789,307.7875671386719,237.14569091796875,85.52288818359375,98.1675796508789,485.81341552734375,19.563507080078125,6119.0
2010-11-03,1144.382080078125,46.56353759765625,308.31805419921875,238.2726287841797,86.58329772949219,97.88888549804688,481.4969177246094,19.908042907714844,6160.5
